"Session Monday 28 September 2026 - 09:30 - 10:30 - Keynote speaker - Prof John H. L. Hansen Keynote Monday 28 September 2026 - 11:00-13:00 - Area 1 - Oral 1 - Model of Speech Perception","Paper ID ","Time 09:30 - 10:30  ","Paper Title Balancing Speech, Language and Hearing Science with Machine Learning Modeling in the Age of AI: “Know your Problem, Data, and Solution ","Presenting Author ","Abstract ","Authors ","CN tbhead2 bg-c1 tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Poster","2817","14:30 - 16:30","Content is What Remains: Invariant Speech Tokenization from Parallel Utterances","Laurin Wagner","Discrete speech tokenizers aim to disentangle semantic from acoustic information, yet targets from self-supervised learning (SSL) models like HuBERT retain non-linguistic variation: speaker identity, prosody, and channel conditions leak into tokens, inflating entropy. Our insight: when enough speakers utter the same words under varying conditions, linguistic content is the only shared factor. We propose PINT (Parallel INvariant Tokenization), fine-tuning an SSL encoder with alignment losses across parallel utterances and augmentations to distill this shared residual. PINT collapses identical words onto consistent token sequences, drastically reducing conditional entropy. Unlike ASR text, PINT tokens preserve frame-level temporal grounding and serve as drop-in semantic targets for audio codecs. Experiments show a 98.7% relative reduction in speaker probe accuracy (93.1%→1.2%), 42% lower ABX error rate, and 27–30% lower LM perplexity versus baselines, confirming that the right invariance is key to efficient learning.","Laurin Wagner(nyra health)","","","","","","","","","","","","","","","","","","",""
"Poster","2897","14:30 - 16:30","Context-Adaptive Automated Audio Captioning with Symmetric Dual-MoE and Dynamic Reward Routing","Seyun Ahn","Deep learning–based automated audio captioning (AAC) typically optimizes a uniform objective, limiting contextual adaptability and fine-grained audio–text alignment. Although reinforcement learning improves evaluation metrics, existing approaches rely on simple and static reward formulations. We propose a context-adaptive AAC framework based on a symmetric dual mixture-of-experts (MoE) architecture optimized with group relative policy optimization (GRPO). On the policy side, LoRA-based experts are integrated into a pretrained BART decoder and activated via cross-attention routing conditioned on acoustic context. On the reward side, parallel experts evaluate semantic relevance, grammatical correctness, lexical diversity, and audio–text alignment, while a context-aware router adaptively weights these signals. Experiments on Clotho and Audio-Caps show improvements in caption quality and human preference. Generated captions are available on the https://symmetric-moe.github.io/.","Seyun Ahn(Hanyang University); Joon-Hyuk Chang(Hanyang University)","","","","","","","","","","","","","","","","","","",""
"Poster","885","14:30 - 16:30","Acoustic Prompting via Stage-wise Modulation for Few-Shot Learning in Audio Language Models","Hyebin Cho","Audio-Language Models (ALMs) have shown remarkable success in zero-shot audio classification by aligning audio waveforms with text. Recent efforts to improve downstream performance focus on learning optimal text prompts. However, previous approaches focus on the text encoder, leaving the potential of learnable prompts within the audio encoder unexplored. In this paper, we propose a novel framework that introduces trainable prompts into the audio encoder to capture task-specific acoustic features. We demonstrate that integrating audio-side prompt learning with existing text-side approaches enhances few-shot adaptation. Through extensive experiments across 11 datasets show that integrating our method as a plug-and-play module alongside existing text prompt tuning generally leads to performance improvements. These findings suggest that explicitly modulating the audio representation space effectively complements text-only prompting approaches. The code is available at https://github.com/hyebin-c/aspl.","Hyebin Cho(Korea Advanced Institute of Science and Technology); Jaehyuk Jang(Korea Advanced Institute of Science and Technology); Changick Kim(Korea Advanced Institute of Science and Technology); Joon Son Chung(Korea Advanced Institute of Science and Technology)","","","","","","","","","","","","","","","","","","",""
"Poster","1173","14:30 - 16:30","Audio-Language Prompt Learning for Few-Shot Audio Classification","Qisheng Xu","Audio-language models (ALMs) have shown strong generalization in standard audio classification tasks, yet their few-shot adaptation remains constrained by text-centric prompt learning, which under-adapts the audio encoder and struggles to distinguish subtle differences between accoustically similar classes. This text-dominated adaptation leads to imbalanced optimization across modalities and limits the discriminative capacity of ALMs under low-data regimes. To address this limitation, we propose MALP, a multi-modal prompt learning framework that jointly optimizes audio-specific, text-specific, and shared prompts. Specifically, MALP first enables modality-specific adaptation to capture complementary characteristics of audio and text, and then introduces shared prompts to strengthen cross-modal alignment while preserving modality-specific discriminability. Experiments on eleven benchmark datasets demonstrate consistent improvements over multiple strong baselines, achieving average gains of 7.21% over CoOp, 4.80% over CoCoOp, and 1.77% over PALM. Ablation studies further confirm the complementary roles of audio-specific and shared prompts, validating the effectiveness of multi-modal prompt learning for few-shot audio classification.","Qisheng Xu(National Key Laboratory of Parallel and Distributed Computing; National University of Defence Technology); Xiaoyi Tan(National Key Laboratory of Parallel and Distributed Computing; National University of Defence Technology); Wuyang Chen(Hunan Normal University); Yutao Dou(Hunan University ); Kele Xu(National Key Laboratory of Parallel and Distributed Computing; National University of Defence Technology)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 14:30-16:30 - Area 6 - Poster 2 - Neural Speech Codecs: Low-Bitrate and Disentangled Coding","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","466","14:30 - 16:30","VoCodec: A Low-bitrate Streamable Neural Speech Codec with Voicing-driven Quantization","Yang Ai","Neural speech codecs are key to speech transmission and storage, but most use uniform quantization across frames, allocating the same bitrate regardless of content and wasting bits. We propose VoCodec, a low-bitrate streamable neural speech codec with voicing-driven quantization that assigns higher bitrate to voiced frames and lower bitrate to unvoiced frames according to perceptual sensitivity. VoCodec embeds a voicing detector in a fully causal encoder-quantizer-decoder neural coding framework, using residual scalar-vector quantization for voiced frames and simple scalar quantization for unvoiced ones. Experiments show that on the LibriTTS dataset at a 16 kHz sampling rate, VoCodec outperforms baseline neural speech codecs even at a bitrate as low as 1.1 kbps. Our further experiments also confirm that introducing voicing-driven quantization can effectively reduce the bitrate by approximately 27% compared with uniform quantization strategy.","Xiao-Hang Jiang(University of Science and Technology of China); Yang Ai(University of Science and Technology of China); Rui-Chen Zheng(University of Science and Technology of China); Lirong Dai(University of Science and Technology of China); Zhen-Hua Ling(University of Science and Technology of China); Ji Wu(Tsinghua University)","","","","","","","","","","","","","","","","","","",""
"Poster","512","14:30 - 16:30","Noisy Environment Adaptation of Neural Speech Codec via Focal Mask and Noise Feature Separation","Shaokai Li","Neural speech codec has attracted extensive attention for high-quality reconstruction at low-bitrate. However, real-world noise severely degrades its performance and hinders high-quality clean speech reconstruction. To tackle this problem, we propose FocalSE, a novel speech enhancement method that performs feature denoising, noise feature separation and noise recognition in the continuous embedding space of neural speech codecs. Specifically, we develop focal modulation-based compression and decompression to capture global context and local mutual information, and generate focal masks to recover clean feature embeddings. We then separate noise embeddings from noisy embeddings to improve denoising performance. Finally, we use ResNet1D-18 to recognize noise categories for better separation effectiveness. Extensive experiments on two standard datasets, LibriTTS and ESC50, demonstrate that our method outperforms state-of-the-art approaches under low-bitrate and low-SNR conditions.","Shaokai Li(Wuhan University); Weiping Tu(Wuhan University; Hubei Key Laboratory of Multimedia and Network Communication Engineering); Yuhong Yang(Wuhan University; Hubei Key Laboratory of Multimedia and Network Communication Engineering)","","","","","","","","","","","","","","","","","","",""
"Poster","1224","14:30 - 16:30","Pitch-Injected Residual Adapter for Tonal Language in Neural Audio Codec","Chi-Chun Lee","Neural Audio Codecs (NACs) achieve high-fidelity reconstruction at low bitrates but remain insensitive to fundamental frequency (F0) distortion—a critical limitation for tonal languages, covering 40%+ of the world's languages, where F0 contour marks lexical distinctions. We propose the Pitch-Injected Residual Adapter (PIRA), a lightweight plug-and-play module that restores tonal information in frozen NACs through explicit F0 and voiced/unvoiced side-information injection. PIRA processes quantized F0 through dilated convolutions to capture tone sandhi dependencies, supervised by a CREPE embedding loss for pitch-specific gradients. A confidence network gates injection per-frame, suppressing it for checked tones and unvoiced segments. With 1.25M–1.65M trainable parameters, PIRA reduces codec-induced Tone Error Rate (dTER) by 35.7% on average (macro-averaged across five codecs, each averaged over three tonal languages), while preserving English quality and adding ≤0.4 kbps overhead.","Jie-Shiang Yang(National Tsing Hua University); Ya-Tse Wu(National Tsing Hua University); Chi-Chun Lee(National Tsing Hua University)","","","","","","","","","","","","","","","","","","",""
"Poster","1338","14:30 - 16:30","BridgeCodec: Mamba Enhanced Neural Audio Codec with Schrödinger Bridge at Low Bitrate","Zijian Lin","Neural audio codecs achieve remarkable performance but operate as closed ecosystems with rigidly co-trained encoder-decoder pairs, severely hindering interoperability. To resolve this, we propose BridgeCodec, a versatile framework that decouples these pairs by translating latent representations between mismatched, frozen endpoints. We formulate this cross-codec translation as a Schrödinger Bridge optimal transport problem, enabling robust mapping between disparate distributions without predefined noise priors. To efficiently capture long-range speech temporal dependencies, we integrate a Mamba-enhanced U-Net architecture. We validate BridgeCodec on an extreme deployment scenario: mapping a lightweight 8 kHz source encoder directly to a 48 kHz target decoder at an ultra-low bitrate of 1 kbps. Experimental results demonstrate that BridgeCodec achieves superior wideband reconstruction and high perceptual quality, successfully bridging heavily bottlenecked, heterogeneous codecs.","Zijian Lin(Tsinghua University); Jing Yang(Huawei); Jinghao Luo(Huawei); Zhuo Wang(Huawei); Fan Fan(Huawei); Zhiyong Wu(Tsinghua University)","","","","","","","","","","","","","","","","","","",""
"Poster","1490","14:30 - 16:30","AugCodec: A Low-Bitrate Disentangled Neural Speech Codec via Data Augmentation","Dongmei Wang","We propose AugCodec, a low-bitrate disentangled neural speech codec that leverages data augmentation to decompose speech into three distinct components: semantic, speaker, and prosody tokens. Specifically, we employ tailored augmentation strategies to transform speech into distinct variants, each serving as input for extracting tokens that preserve the target attribute while suppressing others. This disentanglement strategy enables substantial reduction in token rate. Furthermore, we introduce an augmentation loss that aligns semantic encoder outputs between source and voice-converted speech, encouraging speaker-agnostic embeddings while mitigating the acoustic mismatch induced by voice conversion. Experiments on LibriSpeech test-clean demonstrate that AugCodec significantly outperforms state-of-the-art methods in both reconstruction quality and disentanglement, while operating at only 12.5Hz with three token streams.","Dongmei Wang(Amazon); Xiaohang Sun(Amazon); Yang Liu(Amazon); Fanjie Kong(Amazon); Abhishek Yanamandra(Amazon); Abhinav Jain(Amazon); Daniel Tompkins(Amazon); Woohyun Kang(Amazon); Najmeh Sadoughi(Amazon); Sunil Hadap(Amazon); Xiang Hao(Amazon); Zhu Liu(Amazon); Caren Chen(Amazon)","","","","","","","","","","","","","","","","","","",""
"Poster","1641","14:30 - 16:30","Unified Neural Speech Coding for Multiple Sampling Rates","Jiankai Huang","Most existing neural speech codecs are optimized for fixed sampling rates and lack multi-rate adaptability, leading to significant performance degradation at mismatched rates. To address this, we propose a multi-sampling-rate neural speech codec supporting 16/24/48 kHz audio in a unified model. The architecture consists of a shared encoder-decoder backbone and a universal Residual Vector Quantization (RVQ) module, integrated with two lightweight sampling-rate-aware components: an adapter for learnable waveform conversion to a unified internal temporal grid, and a transformation modulator for intermediate feature calibration to ensure cross-sampling-rate representation consistency for shared quantization. We further adopt a three-stage progressive training strategy to stabilize optimization. Experiments show that our unified codec matches the performance of sampling-rate-specific models while simplifying deployment by eliminating the need for multiple sampling-rate-specific instances.","Jiankai Huang(Nanjing University); Junteng Zhang(Nanjing University); Lizhong Wang(Samsung Research China-Beijing); Liang Wen(Samsung Research China-Beijing); Ming Lu(Nanjing University); Zhan Ma(Nanjing University)","","","","","","","","","","","","","","","","","","",""
"Poster","3355","14:30 - 16:30","ContextCodec: Content-Focused Context Guidance for Ultra-Low Bitrate Speech Coding","Chengbin Liang","Neural speech codecs enable low-bitrate speech communication, yet at ultra-low bitrates (&lt; 1000 bps) preserving perceptual quality and intelligibility is challenging. Existing designs often prioritize acoustic details, leaving limited capacity for the core linguistic message under tight bitrate constraints. To address this, we propose ContextCodec, a codec that transmits content-focused context features to explicitly guide reconstruction. ContextCodec adopts a dual-branch encoder that decouples acoustic details from content-focused context. The context branch is trained with a CLIP-style contrastive loss that aligns context features with phoneme indices, reducing paralinguistic leakage. During decoding, these features are injected at each decoding stage for explicit guidance. In addition, we introduce a lightweight autoregressive latent refinement module. Experiments show a strong quality-intelligibility trade-off down to 500 bps, with an RTF of 0.4886 on a typical mobile CPU.","Chengbin Liang(Tsinghua University); Wenqi Guo(Tsinghua University); Hao Cao(Tsinghua University); Zhijin Qin(Tsinghua University)","","","","","","","","","","","","","","","","","","",""
"Poster","3474","14:30 - 16:30","LitCodec: ASR-Guided Streaming Speech Coding with Unified Quantization","Son Dang Dinh","Real-time speech applications demand codecs that stream with low latency while preserving both acoustic quality and linguistic content. Waveform-oriented codecs suppress fine-grained phonetic cues at low bitrates, while semantic-aware codecs rely on non-causal encoders or dual-branch architectures incompatible with streaming. We propose LitCodec, a semantic-aware neural speech codec that injects ASR-guided supervision directly into a fully causal encoder before quantization, embedding linguistic structure into a single-codebook representation via Finite Scalar Quantization. This avoids separate semantic branches, enabling single-pass streaming without sacrificing semantic fidelity. On LibriSpeech, LitCodec achieves the highest PESQ and STOI among streaming codecs (PESQ 2.56, STOI 0.925) with strong semantic preservation (WER 2.8%) at 800 bps and 50 tokens per second. At 640 bps, LitCodec maintains 3.1% WER while EnCodec degrades to 29.0% at 750 bps.","Son Dang Dinh(Torilab AI); Nguyen Thi Minh Anh(Viettel Group); Nhat Tran Hong(Viettel Group); Huyen Ngo Thi Thu(Hanoi University of Science & Technology)","","","","","","","","","","","","","","","","","","",""
"Poster","3506","14:30 - 16:30","An Ultra-Low-Bitrate Neural Speech Codec with Plain-to-Pseudo Synergistic Vector Quantization","Xiao-Hang Jiang","Most neural speech codecs use residual vector quantization (RVQ), in which later VQs contribute less but consume the same bitrate, leading to inefficiency. We propose P2PSynCodec, an ultra-low-bitrate neural speech codec with a plain-to-pseudo synergistic vector quantizer (P2PSVQ). P2PSVQ consists of one plain VQ and multiple pseudo VQs. The plain VQ produces basic tokens by quantization, while the pseudo VQs generate auxiliary tokens by neural prediction and incur zero transmitted bitrate. Thus, speech is decoded from the plain-VQ tokens together with predicted pseudo-VQ tokens, greatly reducing bitrate. Experiments show that P2PSynCodec achieves speech reconstruction quality comparable to competing codecs at 2.0 kbps while operating at only 0.5 kbps, demonstrating high efficiency for ultra-low-bitrate speech coding.","Xiao-Hang Jiang(University of Science and Technology of China); Yang Ai(University of Science and Technology of China); Fei Liu(University of Science and Technology of China); Rui-Chen Zheng(University of Science and Technology of China); Jian-Qing Gao(iFLYTEK); Zhen-Hua Ling(University of Science and Technology of China); Ji Wu(Tsinghua University)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 14:30-16:30 - Area 8 - Poster 2 - From Self-Supervised Pre-training to Phonetic Analysis of Speech Models","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","1354","14:30 - 16:30","MSR-HuBERT: Self-supervised Pre-training for Adaptation to Multiple Sampling Rates","Zikang Huang","Self-supervised learning (SSL) has advanced speech processing. However, existing speech SSL methods typically assume a single sampling rate and struggle with mixed-rate data due to temporal resolution mismatch. To address this limitation, we propose MSRHuBERT, a multi-sampling-rate adaptive pre-training method. Building on HuBERT, we replace its single-rate downsampling CNN with a multi-sampling-rate adaptive downsampling CNN that maps raw waveforms from different sampling rates to a shared temporal resolution without resampling. This design enables unified mixed-rate pre-training and fine-tuning. In experiments spanning 16 to 48 kHz, MSRHuBERT outperforms HuBERT on speech recognition and full-band speech reconstruction, preserving high-frequency detail while modeling low-frequency semantic structure. Moreover, MSRHuBERT retains HuBERT's mask-prediction objective and Transformer encoder, so existing analyses and improvements that were developed for HuBERT can apply directly.","Zikang Huang(Tianjin University); Meng Ge(Tianjin University); Tianrui Wang(Tianjin University); Xuanchen Li(Tianjin University); Xiaobao Wang(Tianjin University); Longbiao Wang(Tianjin Key Laboratory of Cognitive ComputTianjin University; Huiyan Technology Company, Ltd.); Jianwu Dang(Shenzhen Institute of Advanced Technology)","","","","","","","","","","","","","","","","","","",""
"Poster","1997","14:30 - 16:30","Online Predictive Coding for Dual-Mode Self-Supervised Speech Models","Keita Goto","Dual-mode self-supervised speech models are pre-trained to handle streaming and non-streaming conditions simultaneously. However, their attention is computed over different context ranges, which often makes optimization difficult. In previous work, we proposed online registers, additional tokens intended to compensate for missing future context in streaming mode, but the gains remained limited. To address these issues, we introduce two improvements for robust dual-mode pre-training: (1) Online Predictive Coding (OPC), which regularizes the registers through multi-step future prediction, and (2) Dual-mode Layer Normalization, which stabilizes optimization. We fine-tune the proposed dual-mode self-supervised speech models for speech recognition on LibriSpeech and WSJ. Results show that OPC consistently reduces the online-offline performance gap; at 160 ms latency on LibriSpeech, word error rates improve from 3.65% to 3.40% on test-clean and from 10.15% to 9.65% on test-other.","Keita Goto(LY Corporation); Takashi Maekaku(LY Corporation); Jin Sakuma(LY Corporation); Jinchuan Tian(Carnegie Mellon University); Yusuke Shinohara(LY Corporation); Shinji Watanabe(Carnegie Mellon University)","","","","","","","","","","","","","","","","","","",""
"Poster","650","14:30 - 16:30","Enhancing BEST-RQ Pseudo-Label Quality Through Online Refinement for Automatic Speech Recognition","Jingjing Xu","BEST-RQ is a simple and effective self-supervised training method for speech representation learning that performs well on automatic speech recognition (ASR) tasks. It generates pseudolabels using a fixed online quantization scheme, which simplifies training but provides weaker supervision than HuBERT-style models that iteratively refine pseudo-labels. In this work, we improve online pseudo-label generation while preserving simplicity. We propose three modifications: replacing the quantizer's linear projection with Principal Component Analysis (PCA), updating the codebook via iterative codebook refinement and introducing an additional codebook updated via codebook distillation. We pre-train on the Librispeech 960-hour dataset and fine-tune using 100 hours of supervised Librispeech data. With all three modifications enabled, we achieve a 12% relative reduction in word error rate (WER) on the Librispeech test-other set, improving from 10.1% to 8.8%.","Jingjing Xu(RWTH University; AppTek); Zijian Yang(RWTH University); Mohammad Zeineldeen(RWTH University; AppTek); Eugen Beck(AppTek); Ralf Schlüter(RWTH University; AppTek); Hermann Ney(RWTH University; AppTek)","","","","","","","","","","","","","","","","","","",""
"Poster","2848","14:30 - 16:30","Pretrained self-supervised speech models can recognize unseen consonants","Chihiro Taguchi","Modern pretrained self-supervised automatic speech recognition models are trained on large-scale audio data to encode speech into contextualized representations. However, their training data are heavily skewed toward high-resource languages with little data from low-resource languages, raising concerns about the potential underrepresentation of typologically uncommon speech sounds such as click consonants primarily found in Khoisan languages. This leads to our central research question: Can these models recognize click consonants as accurately as other speech sounds? To address this question, we fine-tune and compare pretrained self-supervised speech models (Wav2Vec2 and HuBERT) on data from two click-rich Khoisan languages (G|ui and West !Xoon). Our results reveal that the fine-tuned models consistently recognize clicks more accurately than non-clicks, suggesting that self-supervision enables generalization across human speech sounds including rare phonemes.","Chihiro Taguchi(University of Notre Dame); Éric Le Ferrand(University at Buffalo); Hirosi Nakagawa(Tokyo University of Foreign Studies); Hitomi Ono(Reitaku University); Kanji Kato(Tokyo University of Foreign Studies); Emily Prud'hommeaux(Boston College); David Chiang(University of Notre Dame)","","","","","","","","","","","","","","","","","","",""
"Poster","2375","14:30 - 16:30","IACC-HuBERT: Intelligibility-Aware Channel Conditioning of HuBERT Frontend for Dysarthric Speech Conformer ASR","Hemant Kumar Kathania","Recent speech foundation models have advanced automatic speech recognition (ASR) systems, particularly for clean or controlled speech. However, no foundation models are specifically designed to capture the characteristics of dysarthric speech, making adaptation of existing models necessary. A common approach is to utilize pretrained self-supervised learning (SSL) models to extract robust speech representations for ASR. In this work, we propose an efficient adaptation method that conditions self-supervised HuBERT features on speaker intelligibility using channel-wise modulation through FiLM-only and Gated-FiLM mechanisms. By training only 6.3M (FiLM) to 15.78M (Gated-FiLM) parameters, the proposed method achieves WERs of 21.3% and 21.0%, respectively, introducing intelligibility-aware channel modulation of HuBERT features in an end-to-end Conformer ASR system.","Paban Sapkota(National Institute of Technology); Hemant Kumar Kathania(National Institute of Technology)","","","","","","","","","","","","","","","","","","",""
"Poster","2941","14:30 - 16:30","ZipCodec: Simple and Pretrained-Model-Free Speech Tokenizer via Flow-Matching","Lingxuan Ye","Speech tokenizers serve as the critical interface for integrating continuous audio into large language models. However, most existing speech tokenizers require massive pretrained models or complex multi-stage training pipelines. To address this, we propose ZipCodec, a single-stage-trained, pretrained-model-free tokenizer that bypasses the need for heavy encoder architectures. By offloading acoustic reconstruction to a powerful Zipformer-based flow-matching decoder, ZipCodec enables an ultra-lightweight encoder of just 4.4M parameters. Furthermore, we introduce an Encoder Consistency Regularization (ECR) loss to enhance the encoder's semantic capacity in a purely self-supervised manner, without relying on external teachers or labels. Experimental results demonstrate that ZipCodec achieves competitive acoustic and semantic performance, outperforming models with encoders more than 20 times larger and delivering improved zero-shot TTS generation.","Lingxuan Ye(Xiaomi Corp.); Han Zhu(Xiaomi Corp.); Liyong Guo(Xiaomi Corp.); Zengwei Yao(Xiaomi Corp.); Wei Kang(Xiaomi Corp.); Fangjun Kuang(Xiaomi Corp.); Zhifeng Han(Xiaomi Corp.); Long Lin(Xiaomi Corp.); Daniel Povey(Xiaomi Corp.)","","","","","","","","","","","","","","","","","","",""
"Poster","3512","14:30 - 16:30","Preserving Acoustic Cues for Video Reasoning: An Efficient Uniqueness-Driven Token Compression Framework","Zichao Nie","Effective video reasoning requires the joint understanding of visual and acoustic cues. However, existing Multimodal Large Language Models (MLLMs) either discard audio entirely or rely solely on ASR transcripts, forfeiting rich acoustic features such as prosody, environmental sounds, and speaker characteristics. Naively forwarding all audio tokens to an MLLM incurs prohibitive computational overhead. We propose Flash-VAReason, a framework that integrates efficient audio token compression into video reasoning via a three-stage pipeline grounded in information uniqueness theory: Audio Time Fusion, Budget Control, and Spatial Dynamic Compression. By quantifying the acoustic distinctiveness of each token, our method reduces the audio token count by an order of magnitude while retaining the most informative cues, enabling joint visual-audio reasoning without sacrificing inference speed. More information is available on the Project page.","Haiwei Xue(Tsinghua University; The Hong Kong University of Science and Technology); Zichao Nie(Tsinghua University); Zhiyong Wu(Tsinghua University; The Chinese University of Hong Kong)","","","","","","","","","","","","","","","","","","",""
"Poster","401","14:30 - 16:30","Do Machines Listen Like Humans? A Temporal Benchmark for Phonological Competition in End-to-End ASR","Linkai Peng","Human speech perception is incremental, with listeners activating and suppressing potential words in real time as they hear speech. Some researchers have explored using modern Automatic Speech Recognition (ASR) models as potential models of human speech recognition (HSR). Here we ask whether ASR models process speech with human-like incremental dynamics, focusing on the time course of lexical activation and phonological competition. We propose a benchmark to quantitatively compare the time course of HSR and ASR, using a point-wise comparison of internal model activation trajectories against human eyetracking data. We define metrics to trace word activation profiles across various architectures. Our results reveal a clear dissociation: Causal models successfully replicate the hallmark human pattern of early competition between onset competitors, and later, weaker competition between words that rhyme, whereas non-causal models with 'look-ahead' mechanisms fail to capture these temporal dynamics. These findings demonstrate that architectural constraints are critical for developing speech systems that process language in a human-like manner, and suggest caution is warranted in considering ASR or other large language models as models of human language processing.","Linkai Peng(University of Connecticut); Christian Brodbeck(McMaster University); Sahil Luthra(Stony Brook University); Kevin Brown(Oregon State University); Jay Rueckl(University of Connecticut); Monty Escabi(University of Connecticut); David Gow(Massachusetts General Hospital); James S. Magnuson(University of Connecticut; BCBL; Ikerbasque)","","","","","","","","","","","","","","","","","","",""
"Poster","2464","14:30 - 16:30","From Continuous Speech to Subglottal Resonances: Automatic Signal Generation, Estimation, and Tracking Framework","Chigozie Uzochukwu Udeogu","Although studies have shown subglottal resonances (SGRs) to be relevant for various speech processing tasks, their integration into speech-based applications has been limited by the difficulty of acquiring them and the absence of automated estimation methods. In this study, we address this challenge by developing a framework that generates accelerometer signals that contains the subglottal signals directly from speech via a supervised multi-scale spectral learning approach. Additionally, we introduce a novel algorithm for automatically estimating and tracking SGRs from continuous speech. Our method achieved low RMSE values (approximately 30 Hz, 50 Hz, and 80 Hz for Sgr1, Sgr2, and Sgr3, respectively) thus, demonstrating its accuracy and robustness. Furthermore, experiments conducted on the TIMIT dataset show that the estimation error remains below 7 cm, highlighting the method's applicability to real world applications.","Chigozie Uzochukwu Udeogu(University of Maryland); Carol Espy-Wilson(University of Maryland)","","","","","","","","","","","","","","","","","","",""
"Poster","478","14:30 - 16:30","Prosodic ABX: A Language-Agnostic Method for Measuring Prosodic Contrast in Speech Representations","Haitong Sun","Speech representations from self-supervised speech models (S3Ms) are known to be sensitive to phonemic contrasts, but their sensitivity to prosodic contrasts has not been directly measured. The ABX discrimination task has been used to measure phonemic contrast in S3M representations via minimal pairs. We introduce prosodic ABX, an extension of this framework to evaluate prosodic contrast with only a handful of examples and no explicit labels. Also, we build and release a dataset of English and Japanese minimal pairs and use it along with a Mandarin dataset to evaluate contrast in English stress, Japanese pitch accent, and Mandarin tone. Finally, we show that model and layer rankings are often preserved across several experimental conditions, making it practical for low-resource settings.","Haitong Sun(The University of Tokyo); Stephen McIntosh(The University of Tokyo); Kwanghee Choi(University of Texas at Austin); Eunjung Yeo(University of Texas at Austin); Daisuke Saito(The University of Tokyo); Nobuaki Minematsu(The University of Tokyo)","","","","","","","","","","","","","","","","","","",""
"Poster","798","14:30 - 16:30","Phonetic Error Analysis of Raw Waveform Acoustic Models","Zhengjun Yue","We analyse error patterns of raw waveform acoustic models on TIMIT phone recognition beyond the overall phone error rate (PER). PER is decomposed across three broad phonetic class(BPC) categorisations, and confusion matrices are constructed from substitution errors. Our models combine parametric (SincNet, Sinc2Net) or non-parametric CNNs with Bidirectional LSTMs, achieving 13.9%/15.3% PER on Dev/Test, the best reported results for raw waveform models on TIMIT. Transfer learning from WSJ reduces PER to 11.3%/12.3%, surpassing the Filterbank baseline. Per-BPC analysis reveals that BLSTM layers benefit transition-dependent classes most, while WSJ transfer learning improves consonants roughly three times more than vowels. Confusion patterns are consistent across raw waveform and Filterbank systems, indicating that the dominant confusions reflect inherent phonetic similarities.","Erfan Loweimi(Cisco; University of Edinburgh); Zhengjun Yue(Chinese University of Hong Kong); Andrea Carmantini(University of Edinburgh); Zoran Cvetkovic(KCL); Steve Renals(University of Edinburgh); Peter Bell(University of Edinburgh)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 14:30-16:30 - Area 9 - Poster 3 - Reasoning with Speech/Audio Language Models","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","2400","14:30 - 16:30","Beyond Semantic Dominance: Cognitive Affective Reasoning and Empathetic Response Alignment in Audio Language Models","Zhixian Zhao","While Audio Language Models (ALMs) demonstrate strong semantic understanding, they struggle with complex affective interactions. Specifically, textual semantic dominance often overshadows acoustic nuances, and a lack of cognitive depth leads to generic, emotion-agnostic responses. We propose CogAudio-LLM, a novel cognitive affective reasoning framework. To mitigate semantic dominance, we build LIME-440K, a &quot;lexically-identical, multi-emotion&quot; dataset designed to facilitate acoustic-semantic decoupling. We introduce EIPS, a 4-step Chain-of-Thought (CoT) mechanism incorporating psychological reasoning. For inference efficiency, multi-stage training explicitly establishes EIPS via supervised fine-tuning, then distills this logic into an implicit generation process. Finally, we design DR-SAPO (Dual-Route Soft Adaptive Policy Optimization) to dynamically balance the logical rigor of the CoT with the empathetic quality of the direct response.","Zhixian Zhao(Northwestern Polytechnical University); Shuiyuan Wang(Northwestern Polytechnical University); Wenjie Tian(Northwestern Polytechnical University); Jingbin Hu(Northwestern Polytechnical University); Ziyu Zhang(Northwestern Polytechnical University); Lei Xie(Northwestern Polytechnical University)","","","","","","","","","","","","","","","","","","",""
