"Session Thursday 1 October 2026 - 09:00-11:00 - Area 1 - Oral 4 - Modeling Articulation Survey Talk","Paper ID Surv-01-1","Time 09:00-09:40","Paper Title Bio-Informed Speech Processing, Modeling, and Generation","Presenting Author Yu Tsao","Abstract Conventional speech technologies rely primarily on acoustic signals, without explicitly accounting for the biological mechanisms underlying human speech production and perception. This survey examines bio-informed speech processing, modeling, and generation by integrating physiological signals with modern machine learning. We investigate how multimodal articulatory dynamics can enable robust motor-control representations and silent-speech interfaces. We further explore how neural markers and individualized hearing profiles can guide perceptual optimization, enhance speech quality, and maximize intelligibility. Grounding computational models in articulatory, muscular, and neuroauditory mechanisms establishes a transformative paradigm for next-generation assistive hearing devices, speech synthesis, and personalized communication systems across diverse speakers, communication environments, clinical needs, and application scenarios.","Authors ","CN tbhead2 bg-c2 ","","","","","","","","","","","","","","","","","",""
"Poster","734","14:00 - 16:00","Acoustic-to-Articulatory Inversion of Clean Speech Using an MRI-Trained Model","Sofiane Azzouz","Articulatory acoustic inversion reconstructs vocal tract shapes from speech. Real-time magnetic resonance imaging (rt-MRI) allows simultaneous acquisition of both the acoustic speech signal and articulatory information. Besides the complexity of rt-MRI acquisition, the recorded audio is heavily corrupted by scanner noise and requires denoising to be usable. For practical use, it must be possible to invert speech recorded without MRI noise. In this study, we investigate the use of speech recorded in a clean acoustic environment as an alternative to denoised MRI speech. To this end we compare two signals from the same speaker with identical sentences which are aligned using phonetic segmentation. A model trained on denoised MRI speech is evaluated on both denoised MRI and clean speech. We also assess a model trained and tested only on clean speech. Results show that clean speech supports articulatory inversion effectively, achieving an RMSE of 1.56 mm, close to MRI-based performance.","Sofiane Azzouz(Loria)","","","","","","","","","","","","","","","","","","",""
"Poster","2194","14:00 - 16:00","UniVoice: Unifying Autoregressive ASR and Flow-Matching based TTS with Large Language Models","Wenhao Guan","Large Language Models (LLMs) have become dominant in both Automatic Speech Recognition (ASR) and Text-to-Speech (TTS), but existing frameworks treat these tasks as isolated, overlooking inherent synergies. While discrete tokenization enables joint modeling, information loss compromises accuracy and synthesis quality. To address the limitations, we propose UniVoice, a unified LLM integrating ASR and TTS via continuous representations. Beyond discrete tokens, UniVoice preserves acoustic details for robust autoregressive recognition and high-fidelity flow-matching generation. To bridge architectural divergence between understanding and generation, we introduce a dual-attention masking mechanism to dynamically switch between causal masks for ASR and bidirectional masks for TTS. Additionally, text-prefix guided speech infilling ensures superior zero-shot voice cloning. Experimental results show UniVoice achieves competitive or superior performance to state-of-the-art single-task models, marking a significant step toward end-to-end speech interaction systems. The code and model weights are available at https://github. com/gwh22/UniVoice.","Wenhao Guan(Xiamen University; Shanghai Innovation Institute); Zhikang Niu(Shanghai Jiao Tong University; Shanghai Innovation Institute); Ziyue Jiang(Zhejiang University); Kaidi Wang(Xiamen University); Peijie Chen(Xiamen University); Qingyang Hong(Xiamen University); Xie Chen(Shanghai Jiao Tong University; Shanghai Innovation Institute); Lin Li(Xiamen University)","","","","","","","","","","","","","","","","","","",""
"Poster","1080","14:00 - 16:00","How do word frequency and syllable surprisal affect response time and acoustic duration in sentence formulation?","Ivan Yuen","Although predictability effects have been shown to affect acoustic realization (e.g., [1 - 8]) at different linguistic levels, they are mostly based on variation of predictability at a specific linguistic level. Yet linguistic levels are embedded within one another. ‘Frequency of occurrence’ is one type of predictability, which could occur at the level of word (word frequency) and syllable (syllable frequency). The current study explored such cross-level interaction on response time and acoustic vowel duration in German, in the context of the psycholinguistic model of speech production in [14]. We hypothesized an additive effect; however, our findings revealed selective interaction, depending on whether the word is mono- or di-syllabic. These results challenge the assumption of ‘discrete, staged and serial’ processing across levels in [14].","Ivan Yuen(Saarland Univeristy); Bernd Möbius(Saarland University); Bistra Andreeva(Saarland University); Mitko Sabev(Saarland University)","","","","","","","","","","","","","","","","","","",""
"Poster","284","14:00 - 16:00","Extreme Few-Shot Phoneme Discovery for Indigenous Australian and Pacific Languages via Typological Transfer Learning","Prasanth Yadla","Indigenous Australian and Pacific languages face extinction, and many have fewer than ten hours of transcribed speech. Conventional acoustic unit discovery often assumes over 100 hours of unlabeled audio--far beyond what is available for endangered languages. We propose an extreme few-shot phoneme discovery framework that operates on under one hour of audio, leveraging typological transfer from high-resource Austronesian languages through a Vector-Quantized Variational Autoencoder (VQ-VAE). We introduce Typological Anchor Selection (TAS), which selects optimal source languages based on phonetic inventory overlap. Evaluated on three endangered language datasets, our approach improves Normalized Mutual Information by 18.8% and cluster purity by 15.6% over multilingual self-supervised baselines. This provides a scalable path for rapid language documentation and revitalization.","Prasanth Yadla(Independent Researcher)","","","","","","","","","","","","","","","","","","",""
"Poster","3116","14:00 - 16:00","Lexical stress-conditioned spatiotemporal gestural coordination in L2 English","Paul McGuire","This study examines the articulatory realisation of lexical stress in L2 English produced by speakers of Taiwanese Mandarin, a language without a perceptually salient lexical stress contrast. Electromagnetic articulography was used to record articulatory data, and multivariate functional principal component analysis with landmark-based temporal registration was applied to analyse the spatiotemporal coordination of articulatory gestures across a syllable. Accentedness ratings were used to contextualise inter-speaker differences in stress-condition separation in FPCA score space. Four of the six speakers showed evidence of separation between stress conditions, whereas the two speakers judged to have the strongest perceived foreign accents did not.","Paul McGuire(Macquarie University; National Tsing Hua University); Michael Proctor(Macquarie University); Feng-fan Hsieh(National Tsing Hua University); Yueh-chin Chang(National Tsing Hua University)","","","","","","","","","","","","","","","","","","",""
"Poster","1664","14:00 - 16:00","Automated Measurement of Geniohyoid Muscle Thickness During Speech Using Deep Learning and UltrasoundAutomated Measurement of Geniohyoid Muscle Thickness During Speech Using Deep Learning and Ultrasound","Alisher Myrgyyassov","Manual measurement of muscle morphology from ultrasound during speech is time-consuming and limits large-scale studies. We present SMMA, a fully automated framework combining deep learning segmentation with skeleton-based thickness quantification for analyzing geniohyoid (GH) muscle dynamics. Validation demonstrates near-human-level accuracy (Dice: 0.9037, MAE: 0.53 mm, r = 0.901). Application to Cantonese vowel production (N = 11) reveals systematic patterns: /a:/ shows significantly greater GH thickness (7.29 mm) than /i:/ (5.95 mm, p &lt; 0.001, Cohen's d &gt; 1.3), suggesting greater GH activation during the production of /a:/ than /i:/, consistent with its role in mandibular depression. Sex differences (5-8% greater in males) reflect anatomical scaling. SMMA achieves expert-validated accuracy while eliminating the need for manual annotation, enabling scalable investigations of speech motor control and objective assessment of speech/swallowing disorders.","Alisher Myrgyyassov(The Hong Kong Polytechnic University); Bruce Xiao Wang(Hong Kong Polytechnic University); Yu Sun(The Hong Kong Polytechnic University); Shuming Huang(Hong Kong Polytechnic University); Zhen Song(The Hong Kong Polytechnic University); Min Ney Wong(The Hong Kong Polytechnic University); Yongping Zheng(The Hong Kong Polytechnic University)","","","","","","","","","","","","","","","","","","",""
"Poster","840","14:00 - 16:00","Articulatory Dynamics using Physical Vocal-tract Models","Takayuki Arai","Visualizing and modeling the vocal tract during speech production is crucial in several speech-related areas, including phonetics and phonology, education in phonetics and speech science, and speech pathology. Once the observation and analysis are done, it becomes crucial to evaluate the “synthesized” speech outputs from the model. While speech synthesis is often performed on a computer, physical vocal-tract models provide an alternative and intuitive approach. Some physical models are static and their configurations cannot be altered. Others are dynamic, allowing us to change their configurations and easily adjust the articulatory parameters. Here, a physically dynamic model was tested to produce given words with different sets of articulatory timings. The model was able to show dynamic aspects of speech from the articulatory phonology point of view.","Takayuki Arai(Sophia University)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 14:00-16:00 - Area 3 - Poster 4 - Speech Emotion Recognition and Representation 3","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","2364","","AcoustEmo: An Utterance-Aware Acoustic Q-Former for Open-Vocabulary Emotion Reasoning","Liyun Zhang","Multimodal Large Language Models (MLLMs) excel in Open-Vocabulary (OV) emotion recognition but often neglect fine-grained acoustic modeling. Existing methods typically use global audio encoders, failing to capture subtle, local temporal dynamics like micro-prosody and intonation shifts within individual utterances. To address this, we propose AcoustEmo, a time-sensitive MLLM featuring a novel Utterance-Aware Acoustic Q-Former. Our approach utilizes a timestamp-synchronized sliding window to dynamically extract segment-level audio tokens instead of coarse global representations. This enables the model to explicitly trace the temporal evolution of subtle acoustic clues and capture deep contextual dependencies in dialogues. Experiments on the Explainable Multimodal Emotion Recognition (EMER) task show that AcoustEmo effectively enhances complex emotion reasoning, outperforming baselines overall while maintaining robust contextual accuracy.","Liyun Zhang(The University of Tokyo); Xuanmeng Sha(The University of Osaka); Shuqiong Wu(The University of Osaka); Fengkai Liu(The University of Osaka)","","","","","","","","","","","","","","","","","","",""
"Poster","901","","Edge–Cloud Collaborative Speech Emotion Captioning via Token-Level Speculative Decoding in Audio-Language Models","Ting Dang","Speech Emotion Captioning (SEC) leverages large audio-language models to generate rich, context-aware affective descriptions from speech. However, real-world deployment remains challenging due to the substantial computational demands on resource-constrained edge devices and the privacy risks of transmitting biometric audio. While smaller audio-language models enable efficient on-device SEC, their limited capacity often weakens subtle paralinguistic modeling and fine-grained affective grounding. We propose an edge-cloud collaborative framework based on Uncertainty-Guided Speculative Decoding (UGSD). A lightweight edge model drafts captions locally, and only high-uncertainty token blocks are selectively escalated to a stronger cloud verifier for validation. Experiments on the MER2024 benchmark demonstrate substantial BLEU improvements up to 62.7%. UGSD further achieves 1.4× lower latency and 8.5× higher token throughput compared to an edge-only model. These results empirically characterize the quality-efficiency-privacy trade-off in deployable SEC systems.","Xiangyuan Xue(University of Auckland); Jiajun Lu(University of Melbourne); Yan Gao(University of Cambridge); Gongping Huang(Wuhan University); Ting Dang(University of Melbourne); Hong Jia(University of Auckland)","","","","","","","","","","","","","","","","","","",""
"Poster","2031","","Disentangling Reasoning in Large Audio-Language Models for Ambiguous Emotion Prediction","Jiaheng Dong","Speech emotion recognition plays an important role in various applications. However, most existing approaches predict a single emotion label, oversimplifying the inherently ambiguous nature of human emotional expression. Recent large audio-language models show promise in generating richer outputs, but their reasoning ability for ambiguous emotional understanding remains limited. In this work, we reformulate ambiguous emotion recognition as a distributional reasoning problem and present the first systematic study of ambiguity-aware reasoning in LALMs. Our framework comprises two complementary components: an ambiguity-aware objective that aligns predictions with human perceptual distributions, and a structured ambiguity-aware chain-of-thought supervision that guides reasoning over emotional cues. Experiments on IEMOCAP and CREMA-D demonstrate consistent improvements across SFT, DPO, and GRPO training strategies.","Xiaofeng Yu(University of Auckland); Jiaheng Dong(The University of Melbourne); Jean Honorio(The University of Melbourne; ARC OPTIMA); Abhirup Ghosh(University of Birmingham); Hong Jia(University of Auckland); Ting Dang(The University of Melbourne)","","","","","","","","","","","","","","","","","","",""
"Poster","80","","AdaLTM: Adaptive Layer-wise Task Vector Merging for Categorical Speech Emotion Recognition with ASR Knowledge Integration","Chia-Yu Lee","Integrating Automatic Speech Recognition (ASR) into Speech Emotion Recognition (SER) enhances modeling by providing linguistic context. However, conventional feature fusion faces performance bottlenecks, and multi-task learning often suffers from optimization conflicts. While task vectors and model merging have addressed such conflicts in NLP and CV, their potential in speech tasks remains largely unexplored. In this work, we propose an Adaptive Layer-wise Task Vector Merging (AdaLTM) framework based on WavLM-Large. Instead of joint optimization, we extract task vectors from in-domain ASR and SER models fine-tuned on emotion datasets. These vectors are integrated into a frozen base model using layer-wise learnable coefficients. This strategy enables depth-aware balancing of linguistic and paralinguistic knowledge across transformer layers without gradient interference. Experiments on the MSP-Podcast demonstrate that the proposed approach effectively mitigates conflicts between ASR and SER.","Chia-Yu Lee(National Tsing Hua University); Huang-Cheng Chou(University of Southern California); Tzu-Quan Lin(National Taiwan University); Yuanchao Li(University of Edinburgh); Ya-Tse Wu(National Tsing Hua University); Shrikanth Narayanan(University of Southern California); Chi-Chun Lee(National Tsing Hua University)","","","","","","","","","","","","","","","","","","",""
"Poster","1208","","SETEAB: Multiscale approach with Squeeze-and-Excitation Temporal Enhanced Aware Block for Speech Emotion Recognition","Kiet Anh Hoang","This paper proposes a novel lightweight multiscale architecture for speech emotion recognition (SER) with three key innovations. First, a depthwise convolution-based subsampling module is introduced to reduce model size and computation while preserving salient emotional cues. Second, a Squeeze-and-Excitation block is integrated to enhance channel-wise recalibration and improve representation robustness. Third, a new Temporal Enhanced Aware Block is designed to strengthen temporal dependency modeling and produce more discriminative emotion-aware features. The proposed model is explicitly designed to jointly improve compactness, recognition performance, and generalizability. Experiments on benchmark SER datasets show that our method achieves higher accuracy with reduced computational complexity, while also delivering stronger cross-corpus performance than most recent advanced networks for SER.","Duy Vo(University of Science; Vietnam National University); Kiet Anh Hoang(University of Science; Vietnam National University; UNEY); Hao Do(University of Science; Vietnam National University)","","","","","","","","","","","","","","","","","","",""
"Poster","2143","","How Language-Independent Are Emotional Attributes? A Study on Training Data Scaling and Cross-Lingual Generalization","Dániel Halmai","Current state-of-the-art Speech Emotion Recognition (SER) systems rely on lots of training data, which is available only for a few languages such as English. For low-resource languages, using a cross-lingual model or adapting it to the target language might be an alternative to training a mono-lingual model from scratch. However, it is not clear what constitutes a 'low-resource', i.e. where model adaptation loses its edge over the mono-lingual approach. We investigate this topic by training and adapting several SER models on English and Mandarin data, focusing on the emotional attributes of arousal, valence and dominance. Our results show that, for arousal, model adaptation is beneficial even with two hours of data, while for valence 10-20 hours of adaptation material is required to match the performance of a mono-lingual model trained with 100 hours of data. This indicates that task-specific model adaptation may be an effective approach in low-resource speech emotion recognition problems.","Dániel Halmai(University of Szeged); Gábor Gosztolya(University of Szeged; HUN-REN–SZTE Research Group on Artificial Intelligence)","","","","","","","","","","","","","","","","","","",""
"Poster","2186","","SISER: Speaker-Invariant Speech Emotion Recognition with Entropy-Based Adversarial Training","Eunseo Choi","Speech emotion recognition (SER) faces two fundamental challenges: scarcity of labeled data and inter-speaker variability, both of which hinder generalization of emotion recognition systems. While prior adversarial approaches address speaker variability, they fall short in leveraging powerful pre-trained representations. We propose SISER (Speaker-Invariant Speech Emotion Recognition), integrating wav2vec 2.0 as a feature encoder and ECAPA-TDNN as a speaker discriminator within an entropy-based adversarial training scheme. wav2vec 2.0 provides rich self-supervised representations that alleviate dependency on large labeled datasets, while ECAPA-TDNN enables suppression of speaker identity via a stronger adversarial signal than shallow classifiers. Evaluated on IEMOCAP, SISER achieves a UA of 60.63%, outperforming the baseline (51.15%) and wav2vec 2.0 without speaker suppression (56.46%), with ablation emphasizing that the choice of speaker classifier architecture is a key factor.","Eunseo Choi(Korea University); Hyunku Kang(Korea University); Chanwoo Kim(Korea University)","","","","","","","","","","","","","","","","","","",""
"Poster","2770","","Robust Audio-Visual Emotion Recognition via Conditional Transformer U-Nets with Frequency-Injected Visual Stream","Hanwook Chung","We present a convolutional transformer (CTr)-based dual U-Net for robust audio-visual emotion recognition (AVER) in noisy and reverberation environments. Each CTr U-Net encoder learns compact, modality-specific bottleneck representations that capture contextual and temporal-spatial cues from audio and visual inputs, while a fusion-based emotion decoder predicts emotional states from the joint bottleneck features. Emotion-conditioned auxiliary decoders reconstruct intermediate features to enhance supervision and consistency. The audio stream incorporates an inverse filtering-based front-end, while the visual stream employs frequency-injected spatial-spectral modeling to better capture facial dynamics. Experiments demonstrate improved robustness and accuracy compared to existing unimodal and multimodal benchmarks.","Hanwook Chung(Faurecia IRYStec)","","","","","","","","","","","","","","","","","","",""
"Poster","2996","","Diffusion Bridge Learning Between Overfitted and Underfitted Representations for speech emotion recognition","Shi-wook Lee","Robust recognition of human emotions from speech remains difficult under domain and language shift because neural encoders often overfit to dataset-specific acoustic cues. This paper proposes a diffusion-based representation-space training framework that reshapes learned representations toward class-centered geometry. The model introduces class prototypes as anchors and learns stochastic sample–prototype transformations using a conditional denoising diffusion process with paired alignment, cycle consistency, and classifier-based regularization. Experiments on cross-lingual emotion recognition between English and Japanese show consistent improvements in weighted average recall. The proposed method achieves up to +6.42 percentage points in English-to-Japanese evaluation and +4.00 percentage points in Japanese-to-English evaluation, demonstrating improved robustness to cross-language domain shift.","Shi-wook Lee(AIST)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 14:00-16:00 - Area 4 - Poster 7 - Spoofing and Deepfake Detection 3","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","643","","DAR-Boost: A Differentiable and Adaptive Raw Data Augmentation Framework for Robust Anti-Spoofing","Yingdong Li","Audio deepfake detection systems face significant challenges in generalizing to unseen attacks and diverse acoustic environments. While raw waveform augmentation methods like RawBoost show promise by modeling recording noise, they rely on static parameters tailored for speech. This rigidity limits effectiveness in non-speech domains like environmental sounds. To address this, we propose DAR-Boost, an end-to-end differentiable augmentation framework. We reformulate traditional convolutive, impulsive, and stationary noise injections as fully differentiable layers governed by a lightweight auxiliary network. This network dynamically predicts optimal parameters based on the input waveform, enabling adaptive learning from the data distribution. Experimental results demonstrate that while DAR-Boost maintains comparable performance to RawBoost in the voice domain, it exhibits superior performance in the environmental sound domain, effectively broadening the framework's applicability.","Yingdong Li(Sun Yat-sen University); Chengxin Chen(China Mobile Communications Corporation); Nanli Zeng(China Mobile Communications Corporation); Jianguo Hu(Sun Yat-sen University); Kun Zeng(Sun Yat-sen University)","","","","","","","","","","","","","","","","","","",""
"Poster","3212","","Quantizer-Aware Hierarchical Neural Codec Modeling for Speech Deepfake Detection","Jinyang Wu","Neural audio codecs discretize speech via residual vector quantization (RVQ), forming a coarse-to-fine hierarchy across quantizers. While codec models have been explored for representation learning, their discrete structure remains underutilized in speech deepfake detection. In particular, different quantization levels capture complementary acoustic cues, where early quantizers encode coarse structure and later quantizers refine residual details that reveal synthesis artifacts. Existing systems either rely on continuous encoder features or ignore this quantizer-level hierarchy. We propose a hierarchy-aware representation learning framework that models quantizer-level contributions through learnable global weighting, enabling structured codec representations aligned with forensic cues. Keeping the speech encoder backbone frozen and updating only 4.4% additional parameters, our method achieves relative EER reductions of 46.2% on ASVspoof 2019 and 13.9% on ASVspoof5 over strong baselines.","Jinyang Wu(A*STAR); Zihan Pan(A*STAR); Qiquan Zhang(UNSW); Sailor Hardik(A*STAR); Soumik Mondal(A*STAR)","","","","","","","","","","","","","","","","","","",""
"Poster","2712","","VoxENES 2026: Benchmarking Generalization of Speech Spoofing Detectors Against LLM-Era TTS and Voice Conversion","Aastha Sharma","Modern LLM-driven text-to-speech (TTS) and voice conversion (VC) systems produce synthetic speech that differs from the generators represented in many legacy spoofing benchmarks. This mismatch creates a temporal generalization gap that can overestimate detector robustness under real-world post-processing conditions. We bridge this gap by introducing Vox-ENES 2026, a bilingual (English and Spanish) benchmark of 53,628 audio samples generated using 10 contemporary speech synthesis methods and evaluated under 10 standardized post-processing conditions. Using VoxENES 2026, we benchmark eight pretrained detectors without fine-tuning and observe substantial performance degradation: the best model achieves 28.98% EER overall, while most perform near or below random chance across modern generators and perturbations. Our results highlight the reliance on brittle artifacts in current detectors and establish VoxENES 2026 as a practical testbed for developing robust audio spoofing countermeasures.","Aastha Sharma(University of South Florida); Guangjing Wang(University of South Florida)","","","","","","","","","","","","","","","","","","",""
"Poster","2294","","Soft-Gating Score-Level Fusion for Spoofing-Aware Speaker Verification","Seongkyu Han","In Spoofing-Aware Speaker Verification (SASV), combining Automatic Speaker Verification (ASV) and Countermeasure (CM) subsystems is a key challenge. Existing approaches mainly rely on static fusion schemes, which fail to fully reflect the complementary strengths of the two subsystems. To address this limitation, we propose a Soft Gating Score-Level Fusion method that dynamically adjusts subsystem contributions based on confidence. This trial-wise adjustment allows the subsystem with higher confidence to contribute more strongly to the final decision. The proposed method requires no additional training and can be directly applied to existing SASV pipelines. Experiments on two benchmark datasets under multiple model configurations show that the proposed method achieves up to 90% relative improvement in a-DCF compared to baselines. We further analyze the conditions under which the proposed fusion is most effective, providing practical insights for stable SASV deployment.","Seongkyu Han(Soongsil University); Yowon Lee(Soongsil University); Thien An Nguyen(Soongsil University); Thien Phuc Doan(Soongsil University); Souhwan Jung(Soongsil University)","","","","","","","","","","","","","","","","","","",""
"Poster","2216","","GradHarmony: A Gradient Alignment and Magnitude Normalization Strategy for Audio Deepfake Detection","Inho Kim","In audio deepfake detection, data augmentation improves model generalization by exposing them to diverse data variations. However, gradients computed from clean and augmented samples may become directionally misaligned and differ in magnitude. These discrepancies may be amplified in multi-augmentation settings, leading to unstable optimization. In this paper, we propose GradHarmony, a gradient alignment and magnitude normalization strategy for stable multi-augmentation training. GradHarmony computes gradients separately for clean data and each augmentation type, and aligns conflicting augmented gradients using the clean gradient as a reference. Then adaptively normalizes their magnitudes using exponential moving average (EMA)-based statistics to prevent dominance. Experimental results show performance improvements across a variety of models, with two state-of-the-art models achieving an average 22% reduction in equal error rate compared to the baseline on out-of-domain datasets.","Inho Kim(soongsil University); Thien-Phuc Doan(soongsil University); Souhwan Jung(soongsil University)","","","","","","","","","","","","","","","","","","",""
"Poster","2116","","Towards Detecting Neural Audio Codec Synthesized Heart Sounds","Orchid Chetia Phukan","In this paper, we introduce Synthetic Heart Sound Detection (SHAC), a task aimed at identifying phonocardiograms (PCGs) synthesized using neural audio codecs (NACs). To facilitate research in this direction, we release CARDIOFAKE, the first benchmark dataset for SHAC containing both real and codec-synthesized PCGs. We benchmark spectral representations (MFCC, LFCC) and self-supervised learning (SSL) representations (e.g., WavLM) for the task. Furthermore, we propose GROOT, a fusion framework that integrates spectral and SSL features for leveraging their complementary behavior. Experiments show that GROOT, combining MFCC and WavLM, achieves state-of-the-art performance, outperforming individual representations and competitive baselines.","Girish (UPES; IIIT-Delhi); Orchid Chetia Phukan(NTHU); Mohd Mujtaba Akhtar(VBSPU; IIIT-Delhi); Bhavinkumar Vinodbhai Kuwar(IIIT-Delhi); Swarup Ranjan Behera(Independent Researcher); Arun Balaji Buduru(IIIT-Delhi)","","","","","","","","","","","","","","","","","","",""
"Poster","36","","Disentangling Speaker Traits for Deepfake Source Verification via Chebyshev Polynomial and Riemannian Metric Learning","Xi Xuan","Speech deepfake source verification systems aims to determine whether two synthetic speech utterances originate from the same source generator, often assuming that the resulting source embeddings are independent of speaker traits. However, this assumption remains unverified. In this paper, we first investigate the impact of speaker factors on source verification. We propose a speaker-disentangled metric learning (SDML) framework incorporating two novel loss functions. The first leverages Chebyshev polynomial to mitigate gradient instability during disentanglement optimization. The second projects source and speaker embeddings into hyperbolic space, leveraging Riemannian metric distances to reduce speaker information and learn more discriminative source features. Experimental results on MLAAD benchmark, evaluated under four newly proposed protocols designed for source-speaker disentanglement scenarios, demonstrate the effectiveness of SDML framework. The code, evaluation protocols and demo website are available at .","Xi Xuan(University of Eastern Finland); Wenxin Zhang(University of Chinese Academy of Sciences); Zhiyu Li(University of Science and Technology of China); Jennifer Williams(University of Southampton); Ville Hautamäki(University of Eastern Finland); Tomi Kinnunen(University of Eastern Finland)","","","","","","","","","","","","","","","","","","",""
"Poster","2250","","Interpretable Frequency-Band Attention with Gated SSL Fusion for Audio Deepfake Detection","Abeer Alhammad","Synthetic and manipulated speech threatens automatic speaker verification. Self-supervised (SSL) front-ends achieve low error rates but operate as black boxes, revealing little about where in the spectrum spoofing artifacts reside. We propose BandMIL, a band-aware multiple instance learning (MIL) framework that augments SSL representations with interpretable frequency-band analysis. Overlapping windows are split into eight band-specific spectrogram images, encoded by a shared convolutional encoder combined with handcrafted per-band features, and pooled via band attention. Gated fusion adaptively integrates these cues with WavLM representations, and MIL aggregates window predictions into an utterance-level decision without truncation. On ASVspoof 2019 LA, BandMIL achieves 1.28% EER and 0.0331 min t-DCF, improving over SSL-only (1.73% EER). Per-attack analysis shows the band and SSL branches are complementary, while band attention reveals which frequencies drive each decision.","Abeer Alhammad(Thaka); Abdullah Aldahlawi(Thaka)","","","","","","","","","","","","","","","","","","",""
"Poster","2665","","ArFake: A Robust Framework for Multi-Dialect Arabic Speech Spoofing Detection Benchmark","Mohamed Elsetohy","Rapid advances in generative text-to-speech have made it increasingly difficult to distinguish bona fide from synthetic speech, especially for low-resource Arabic dialects, where data scarcity, complex morphology, and non-standard orthography hinder both synthesis and detection. We introduce ARFAKE, the first end-to-end framework for generating and detecting spoofed Arabic speech across eight dialects. The framework generates speech with four TTS models, then assesses quality and intelligibility using classifier-based measures, downstream ASR performance, and human mean opinion scores. We curate a mixed bona fide/synthetic corpus to train a spoofing detector and evaluate robustness both in-domain and under Leave-One-Generator-Out (LOGO) protocols, achieving 96% and 97%. Generalization to unseen dialects is examined with Leave-One-Dialect-Out (LODO) evaluation. ARFAKE establishes a benchmark and a scalable pathway toward stronger Arabic speech security across generators and dialects.","Mohamed Elsetohy(MBZUAI); Alhassan Ehab(Queen's University); Ali Mekky(MBZUAI); Besher Hassan(MBZUAI); Shady Shehata(University of Waterloo)","","","","","","","","","","","","","","","","","","",""
"Poster","2159","","MSpoofTTS: Multi-Resolution Spoof-Guided Inference for Discrete Speech Synthesis","Junchuan Zhao","Neural codec language models enable high-quality discrete speech synthesis, yet their inference remains vulnerable to token-level artifacts and distributional drift that degrade perceptual realism. Rather than relying on preference optimization or retraining, we propose MSpoofTTS, a training-free inference framework that improves zero-shot synthesis through multi-resolution spoof guidance. We introduce a Multi-Resolution Token-based Spoof Detection framework that evaluates codec sequences at different temporal granularities to detect locally inconsistent or unnatural patterns. We then integrate the spoof detectors into a hierarchical decoding strategy, progressively pruning low-quality candidates and re-ranking hypotheses. This discriminator-guided generation enhances robustness without modifying model parameters. Experiments validate the effectiveness of our framework for robust and high-quality codec-based speech generation. Demos are available online.","Junchuan Zhao(National University of Singapore); Minh Duc Vu(National University of Singapore); Ye Wang(National University of Singapore)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 14:00-16:00 - Area 5 - Poster 9 - Source Separation 2","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","1150","","MeCo: One-Step MeanFlow-based Corrector for Multi-Channel Speech Separation","Dohwan Kim","While discriminative models for multi-channel speech separation excel in reference-based metrics, they often exhibit suboptimal human listening quality. To address this, we propose a novel MeanFlow-based one-step generative corrector (MeCo). MeCo learns a conditional average velocity field to map discriminative estimates directly onto the clean speech manifold in a single step. To maximize one-step generation performance, we introduce Data-Space Optimization (DSO). DSO integrates an xᵣ-loss, which penalizes prediction errors on longer displacement intervals to serve as a generative objective for human listening quality, with an Endpoint SI-SDR loss that directly optimizes terminal signal fidelity. Experiments demonstrate that MeCo achieves state-of-the-art (SOTA) performance with minimal computational overhead, simultaneously achieving superior signal fidelity and human listening quality in both in-domain and out-of-domain scenarios.","Dohwan Kim(KAIST); Jung-Woo Choi(KAIST)","","","","","","","","","","","","","","","","","","",""
"Poster","1960","","AV-FlowSep: Audio-Visual Target Speaker Separation via Flow Matching","Pattara Tipaksorn","This work addresses the task of separating a target speaker's voice from mixtures using visual cues. While existing discriminative approaches achieve strong speech intelligibility, generative diffusion-based methods improve perceptual quality but require many iterative refinement steps. To address these limitations, we propose AV-FlowSep, an audio-visual target speaker separation based on conditional flow matching to learn direct transport paths from mixture to clean mel-spectrogram. We adopt a latent Diffusion Transformer where temporal visual cues from the target speaker are integrated via cross-attention. We demonstrate that AV-FlowSep can generate high perceptual quality with as few as a single inference step. Experiments on VoxCeleb2 and LRS2 across both speech-speech and speech-noise scenarios, show that our approach achieves competitive or superior performance compared to existing baselines, with strong cross-dataset generalization and practical computational efficiency.","Pattara Tipaksorn(NECTEC); Wayupuk Sommuang(Thammasat University); Kwanchiva Thangthai(NECTEC)","","","","","","","","","","","","","","","","","","",""
